timestamp,frame_no,vehicle_id,vehicle_class,plate,confidence,speed_kmh
2025-08-22 04:10:20,82,6,car,Qi,0.32,50.94
2025-08-22 04:10:20,83,6,car,Dsu,0.08,27.53
2025-08-22 04:10:21,84,6,car,LKEL,0.03,46.14
2025-08-22 04:10:22,85,6,car,CzL,0.08,73.45
2025-08-22 04:10:22,86,6,car,Dz,0.10,46.45
2025-08-22 04:10:23,87,6,car,,0.00,32.85
2025-08-22 04:10:23,88,6,car,DHK,0.05,42.18
2025-08-22 04:10:24,89,6,car,Zx,0.11,50.94
2025-08-22 04:10:25,90,6,car,,0.00,50.94
2025-08-22 04:10:25,91,6,car,,0.00,84.00
2025-08-22 04:10:27,95,6,car,Ku5h,0.01,60.37
2025-08-22 04:10:27,96,6,car,,0.00,34.15
2025-08-22 04:10:28,97,6,car,0574,0.07,57.40
2025-08-22 04:10:28,98,6,car,Kj52,0.07,42.18
2025-08-22 04:10:29,99,4,car,ApoS eot,0.14,32.40
2025-08-22 04:10:29,99,6,car,Ko5 2AX,0.07,30.55
2025-08-22 04:10:29,100,6,car,K5,0.30,77.88
2025-08-22 04:10:30,101,6,car,Konzu,0.05,15.27
2025-08-22 04:10:30,102,6,car,L405 ZX,0.10,48.90
2025-08-22 04:10:31,103,6,car,Ls2x,0.04,43.54
2025-08-22 04:10:31,104,6,car,Kusu,0.09,32.85
2025-08-22 04:10:31,105,4,car,ApS EQ],0.07,27.53
2025-08-22 04:10:32,105,6,car,nuiz,0.22,68.31
2025-08-22 04:10:32,106,6,car,,0.00,46.45
2025-08-22 04:10:33,107,6,car,Ijizz,0.15,54.00
2025-08-22 04:10:33,108,6,car,KESZ,0.09,34.15
2025-08-22 04:10:34,109,6,car,KkSZZ,0.07,32.85
2025-08-22 04:10:34,110,6,car,L05z,0.06,19.47
2025-08-22 04:10:34,111,6,car,KHJ5zZ,0.08,27.00
2025-08-22 04:10:35,112,4,car,Apds Jbo,0.16,54.00
2025-08-22 04:10:35,112,6,car,KHEZZ,0.18,38.18
2025-08-22 04:10:36,113,6,car,QuS,0.15,34.15
2025-08-22 04:10:36,114,4,car,LPO5 JEO,0.16,49.79
2025-08-22 04:10:36,114,6,car,DISZ4,0.04,43.54
2025-08-22 04:10:37,115,6,car,KKDSZIA,0.06,54.00
2025-08-22 04:10:38,116,4,car,Ap03 bo,0.06,48.30
2025-08-22 04:10:38,116,6,car,KKpSZF,0.06,29.08
2025-08-22 04:10:38,117,4,car,APO5 JBO,0.11,38.18
2025-08-22 04:10:38,117,6,car,KKOSZIK,0.36,57.40
